n,cos,sin
835,0.0937012,0.961521
836,-0.00196063,0.965994
837,-0.0975864,0.960974
838,-0.192237,0.946512
839,-0.284981,0.922751
840,-0.374909,0.889929
841,-0.461138,0.848367
842,-0.54282,0.798478
843,-0.619154,0.740751
844,-0.689392,0.675757
845,-0.752844,0.604135
846,-0.808889,0.526591
847,-0.856976,0.443886
848,-0.896636,0.356835
849,-0.927479,0.266294
850,-0.949206,0.173153
851,-0.961604,0.0783278
852,-0.964554,-0.0172503
853,-0.958027,-0.112642
854,-0.942091,-0.20691
855,-0.916904,-0.299129
856,-0.882714,-0.388393
857,-0.839861,-0.473825
858,-0.788765,-0.554589
859,-0.729931,-0.629891
860,-0.663938,-0.698992
861,-0.591436,-0.761216
862,-0.513138,-0.815952
863,-0.429814,-0.862664
864,-0.342284,-0.900895
865,-0.251409,-0.930272
866,-0.15808,-0.950507
867,-0.0632163,-0.961404
868,0.0322512,-0.962858
869,0.127385,-0.954856
870,0.22125,-0.937478
871,0.312926,-0.910898
872,0.401512,-0.875378
873,0.486139,-0.831268
874,0.565977,-0.779004
875,0.640244,-0.719101
876,0.70821,-0.652147
877,0.76921,-0.578803
878,0.822647,-0.499789
879,0.867996,-0.415882
880,0.904815,-0.327908
881,0.932744,-0.23673
882,0.951511,-0.143245
883,0.960932,-0.0483714
884,0.960918,0.0469601
885,0.951471,0.141813
886,0.932685,0.235256
887,0.904746,0.326373
888,0.867931,0.414268
889,0.822602,0.498081
890,0.769208,0.576989
891,0.708273,0.650219
892,0.640396,0.717053
893,0.566247,0.776835
894,0.486554,0.828982
895,0.402099,0.872983
896,0.313714,0.908407
897,0.222266,0.934908
898,0.128654,0.952229
899,0.0337972,0.960201
900,-0.0613739,0.958748
901,-0.155925,0.947886
902,-0.248928,0.927724
903,-0.33947,0.898461
904,-0.426664,0.860386
905,-0.509655,0.813876
906,-0.587629,0.759388
907,-0.659822,0.697458
908,-0.725526,0.628696
909,-0.784099,0.553778
910,-0.834967,0.473441
911,-0.877633,0.388473
912,-0.91168,0.29971
913,-0.936774,0.208023
914,-0.952673,0.114312
915,-0.959222,0.0194975
916,-0.956359,-0.0754901
917,-0.944113,-0.169719
918,-0.922608,-0.262265
919,-0.892055,-0.35222
920,-0.852757,-0.438702
921,-0.8051,-0.520865
922,-0.749555,-0.597902
923,-0.686668,-0.669059
924,-0.617057,-0.733639
925,-0.541406,-0.79101
926,-0.460459,-0.840611
927,-0.375011,-0.881957
928,-0.285901,-0.914644
929,-0.194005,-0.938353
930,-0.100223,-0.952854
931,-0.00547574,-0.958007
932,0.0893064,-0.953763
933,0.183194,-0.940165
934,0.275267,-0.917349
935,0.364623,-0.88554
936,0.450385,-0.845054
937,0.531714,-0.796287
938,0.607812,-0.739721
939,0.677935,-0.675913
940,0.741396,-0.605488
941,0.797574,-0.529139
942,0.845921,-0.447617
943,0.885963,-0.361721
944,0.91731,-0.272296
945,0.939656,-0.180218
946,0.952784,-0.0863905
947,0.956567,0.00826514
948,0.950971,0.102821
949,0.936052,0.19635
950,0.911959,0.287936
951,0.878929,0.376681
952,0.837288,0.461715
953,0.787448,0.542206
954,0.729897,0.617365
955,0.665202,0.686457
956,0.593999,0.748806
957,0.516987,0.803801
958,0.434922,0.850907
959,0.34861,0.889661
960,0.258898,0.919688
961,0.166667,0.940693
962,0.0728196,0.952473
963,-0.0217225,0.954915
964,-0.116033,0.947996
965,-0.209187,0.931788
966,-0.300272,0.906449
967,-0.388396,0.872232
968,-0.472695,0.829473
969,-0.552345,0.778592
970,-0.626566,0.720092
971,-0.694631,0.654546
972,-0.755875,0.582599
973,-0.809699,0.504957
974,-0.855577,0.422382
975,-0.893062,0.335684
976,-0.921787,0.245715
977,-0.941475,0.153356
978,-0.951932,0.0595131
979,-0.95306,-0.034894
980,-0.944849,-0.12894
981,-0.927382,-0.221703
982,-0.900832,-0.312276
983,-0.86546,-0.39977
984,-0.821617,-0.483329
985,-0.769732,-0.562136
986,-0.710317,-0.63542
987,-0.643954,-0.702463
988,-0.571297,-0.76261
989,-0.493057,-0.815274
990,-0.410003,-0.85994
991,-0.32295,-0.896173
992,-0.232751,-0.923619
993,-0.14029,-0.942012
994,-0.0464742,-0.951173
995,0.0477776,-0.951015
996,0.141542,-0.941541
997,0.233901,-0.922847
998,0.323949,-0.895117
999,0.410806,-0.858625
1000,0.493621,-0.813731
1001,0.571584,-0.760877
1002,0.643933,-0.700581
1003,0.70996,-0.633435
1004,0.76902,-0.560101
1005,0.820536,-0.481295
1006,0.864006,-0.397793
1007,0.899005,-0.310413
1008,0.925193,-0.22001
1009,0.942315,-0.127472
1010,0.950205,-0.0337055
1011,0.948789,0.0603718
1012,0.938083,0.153838
1013,0.918193,0.245779
1014,0.889316,0.335293
1015,0.851737,0.421506
1016,0.805827,0.503573
1017,0.752036,0.580693
1018,0.690893,0.65211
1019,0.622998,0.717128
1020,0.549018,0.775111
1021,0.469679,0.825493
1022,0.385758,0.867782
1023,0.298078,0.901567
1024,0.207498,0.926518
1025,0.114906,0.942393
1026,0.0212095,0.94904
1027,-0.0726752,0.946394
1028,-0.165829,0.934485
1029,-0.257339,0.913431
1030,-0.346311,0.883439
1031,-0.431873,0.844807
1032,-0.513191,0.797913
1033,-0.589467,0.743219
1034,-0.659958,0.681262
1035,-0.723974,0.612651
1036,-0.780891,0.538058
1037,-0.830152,0.458214
1038,-0.871278,0.373903
1039,-0.903868,0.285951
1040,-0.927604,0.195219
1041,-0.942258,0.102595
1042,-0.947687,0.00898825
1043,-0.94384,-0.0846867
1044,-0.930758,-0.177513
1045,-0.908571,-0.268582
1046,-0.877497,-0.357003
1047,-0.837843,-0.441911
1048,-0.79,-0.522477
1049,-0.734436,-0.597913
1050,-0.671698,-0.667482
1051,-0.602401,-0.730505
1052,-0.527226,-0.786366
1053,-0.446908,-0.834522
1054,-0.362234,-0.874502
1055,-0.274036,-0.905917
1056,-0.183175,-0.928462
1057,-0.090542,-0.941918
1058,0.00295646,-0.946156
1059,0.0964056,-0.941138
